#Nite           Exposure        Problem
20121102        145846          Telescope Moving
20121103        146656          Readout
20121103        146657          Readout
20121107        148661          Nebula
20121107        148664          Nebula
20121107        148667          Nebula
20121107        148672          Nebula
20121107        148675          Nebula
20121107        148681          Nebula
20121107        148684          Nebula
20121107        148690          Nebula
20130210        177055          Nebula
20130210        177056          Nebula
20130210        177057          Nebula
20130210        177058          Nebula
20130210        177059          Nebula
20130210        177060          Nebula
20130210        177061          Nebula
20130210        177062          Nebula
20130210        177068          Nebula
20130210        177069          Nebula
20130210        177070          Nebula
20130416        197808          Nebula
20130416        197809          Nebula
20130416        197812          Nebula
20130416        197813          Nebula
20130416        197816          Nebula
20130416        197817          Nebula
20130416        197820          Nebula
20130416        197821          Nebula
20130417        198390          Nebula
20130417        198391          Nebula
20130417        198394          Nebula
20130417        198395          Nebula
20130417        198398          Nebula
20130417        198399          Nebula
20130417        198402          Nebula
20130417        198403          Nebula
20130529        206599          Fringing
20130529        206603          Fringing
20130529        206604          Fringing
20130529        206605          Fringing
20130529        206606          Fringing
20130529        206607          Fringing
20130529        206608          Fringing
20121210        160199          Ghosting
20121210        160212          Ghosting
20121210        160228          Ghosting
20130307        184733          Clouds
20130307        184734          Clouds
20130307        184735          Clouds
20130307        184745          Clouds
20130307        184746          Clouds
20130208        176558          Telescope Moving
20130330        192463          Clouds
20130330        192479          Clouds
20130330        192489          Clouds
20130330        192490          Clouds
20130408        195126          Clouds
20130408        195127          Clouds
20130130        173765          NObjects
20130130        173783          NObjects
20130130        173784          NObjects
20130308        185034          NObjects
20130319        187525          NObjects
20130319        187530          NObjects
20130330        192407          NObjects
20140302        289494          NObjects
20130317        187055          NObjects
20121210        160199          Ghosting
20121210        160228          Ghosting
20130420        199985          Ghosting
20130410        195507          Readout
20121212        160867          Clouds
20121212        160868          Clouds
20121212        160868          Clouds
20121212        160870          Clouds
20130118        170433          Telescope Moving
20130218        179207          Telescope Moving
20130606        209637          Telescope Moving
