#date     expnum ccd id ccdnum
20151227  506313 nan nan  47
### DES Y3 ###
20160103  508336 nan nan 4
20160103  508336 nan nan 8
20160103  508336 nan nan 13
20160103  508336 nan nan 14
20160103  508336 nan nan 19
20160103  508336 nan nan 20
20160103  508336 nan nan 25
20160103  508336 nan nan 26
20160103  508336 nan nan 27
20160103  508336 nan nan 32
20160103  508336 nan nan 33
20160103  508336 nan nan 34
20160103  508336 nan nan 39
20160103  508336 nan nan 40
20160103  508336 nan nan 45
20160103  508336 nan nan 46
20160103  508336 nan nan 51
20160103  508336 nan nan 56
20160103  508337 nan nan 4
20160103  508337 nan nan 8
20160103  508337 nan nan 13
20160103  508337 nan nan 14
20160103  508337 nan nan 19
20160103  508337 nan nan 20
20160103  508337 nan nan 25
20160103  508337 nan nan 26
20160103  508337 nan nan 27
20160103  508337 nan nan 32
20160103  508337 nan nan 33
20160103  508337 nan nan 34
20160103  508337 nan nan 39
20160103  508337 nan nan 40
20160103  508337 nan nan 45
20160103  508337 nan nan 46
20160103  508337 nan nan 51
20160103  508337 nan nan 56
20160103  508338 nan nan 4
20160103  508338 nan nan 8
20160103  508338 nan nan 13
20160103  508338 nan nan 14
20160103  508338 nan nan 19
20160103  508338 nan nan 20
20160103  508338 nan nan 25
20160103  508338 nan nan 26
20160103  508338 nan nan 27
20160103  508338 nan nan 32
20160103  508338 nan nan 33
20160103  508338 nan nan 34
20160103  508338 nan nan 39
20160103  508338 nan nan 40
20160103  508338 nan nan 45
20160103  508338 nan nan 46
20160103  508338 nan nan 51
20160103  508338 nan nan 56
20160103  508339 nan nan 4
20160103  508339 nan nan 8
20160103  508339 nan nan 13
20160103  508339 nan nan 14
20160103  508339 nan nan 19
20160103  508339 nan nan 20
20160103  508339 nan nan 25
20160103  508339 nan nan 26
20160103  508339 nan nan 27
20160103  508339 nan nan 32
20160103  508339 nan nan 33
20160103  508339 nan nan 34
20160103  508339 nan nan 39
20160103  508339 nan nan 40
20160103  508339 nan nan 45
20160103  508339 nan nan 46
20160103  508339 nan nan 51
20160103  508339 nan nan 56
20160103  508340 nan nan 4
20160103  508340 nan nan 8
20160103  508340 nan nan 13
20160103  508340 nan nan 14
20160103  508340 nan nan 19
20160103  508340 nan nan 20
20160103  508340 nan nan 25
20160103  508340 nan nan 26
20160103  508340 nan nan 27
20160103  508340 nan nan 32
20160103  508340 nan nan 33
20160103  508340 nan nan 34
20160103  508340 nan nan 39
20160103  508340 nan nan 40
20160103  508340 nan nan 45
20160103  508340 nan nan 46
20160103  508340 nan nan 51
20160103  508340 nan nan 56
