#Nite           Exposure        Problem
20150917        475957          Ghosting
20160608        548254          Arcturus        
20160608        548256          Arcturus
20151028        488244          Clouds
20151028        488271          Clouds
20151127        497173          Wonky
20151127        497174          Wonky
20151127        497175          Wonky
20151127        497176          Wonky
20151007        482747          Alnair
20160110        510084          Achernar
20160111        510466          Achernar
20160209        515735          Canopus
20150815        464129          NObjects
20151007        482747          Alnair
20160110        510084          Achernar
20160111        510466          Achernar
20160209        515735          Canopus
20160525        545296          NObjects
20160525        545306          Dome Light
20160525        545357          NObjects
20151022        486781          NObjects
20151105        490402          NObjects
20151120        495360          NObjects
20151120        495361          NObjects
20151120        495377          NObjects
20151120        495382          NObjects
20151120        495401          NObjects
20151121        495758          NObjects
20151220        504523          NObjects
20151220        504524          NObjects
20151220        504533          NObjects
20151220        504534          NObjects
20151220        504535          NObjects
20151220        504537          NObjects
20151220        504539          NObjects
20151220        504540          NObjects
20151220        504542          NObjects
20151220        504543          NObjects
20151220        504557          NObjects
20151220        504559          NObjects
20151220        504565          NObjects
20151220        504567          NObjects
20160209        515742          NObjects
20160608        548298          Ghosting
20160723        554287          NObjects
20160723        554289          NObjects
20160606        547553          NObjects
20160627        549530          NObjects
20160721        553720          PSF
20160301        522055          Telescope Moving
20150829        468232          Out of Focus
20150829        468244          Out of Focus
