#Nite           Exposure        Problem
20180308        728257          Orion Nebula
20180308        728258          Orion Nebula
20180218        723161          Arcturus
20180413        735289          Sky Background
20180413        735362          Sky Background
20180413        735382          Sky Background
20180426        739472          Ghosting
20180522        750133          NObjects
20180522        750134          NObjects
20180522        750135          NObjects
20180723        758320          NObjects 
20180723        758326          NObjects 
20180723        758327          NObjects 
20180723        758328          NObjects 
20180726        759394          NObjects 
20170805        665994          NObjects 
20170806        666270          Dome Light
20170806        666271          Dome Light
20170806        666292          Dome Light
20170806        666293          NObjects 
20170806        666294          NObjects 
20170806        666295          NObjects 
20170806        666296          NObjects 
20170806        666297          NObjects 
20170806        666298          NObjects 
20170806        666299          NObjects 
20170806        666300          NObjects 
20170806        666301          Dome Light
20170806        666302          Dome Light
20170806        666303          Dome Light
20170806        666304          Dome Light
20170806        666305          Dome Light
20170806        666306          Dome Light
20170806        666307          Dome Light
20170806        666308          Dome Light
20170806        666309          Dome Light
20170806        666310          Dome Light
20170806        666311          Dome Light
20170806        666312          Dome Light
20170806        666313          Dome Light
20170806        666314          Dome Light
20170806        666315          Dome Light
20170806        666316          Dome Light
20170806        666317          Dome Light
20170806        666318          Dome Light
20170806        666319          Dome Light
20170806        666320          Dome Light
20170806        666321          Dome Light
20170806        666322          Dome Light
20170806        666336          Dome Light
20170806        666341          Dome Light
20170806        666342          Fringing
20170806        666343          Fringing
20170806        666344          Dome Light
20170806        666345          Dome Light
20170806        666346          Dome Light
20170806        666347          Dome Light
20170806        666348          Dome Light
20170806        666349          Fringing
20170806        666350          Dome Light
20170806        666353          Dome Light
20170806        666357          Dome Light
20170806        666358          Dome Light
20170918        679251          Alnair          
20170926        682166          Achernar
20170926        682170          Achernar
20171213        704959          Canopus
20180107        710300          Gamma Eri
20180121        714186          Canopus
20180122        714474          Canopus
20171127        700731          Canopus
20170830        673710          Bad Astrometry
20170907        675756          NObjects
20170907        675760          NObjects
20170907        675762          NObjects
20170907        675763          NObjects
20170926        681945          NObjects
20171128        701005          NObjects
20171128        701006          NObjects
20171128        701007          NObjects
20171205        702105          NObjects
20171211        704268          NObjects
20180723        758330          NObjects
20180313        730116          Ghosting
20180106        710015          Sky Background
20180223        724779          Telescope Moving
20170820        670009          Ghosting
20171006        684541          NObjects 
20171006        684543          NObjects 
### DES Y5 ###
20171119        697907          Telescope Moving
20171119        697912          Telescope Moving
20170902        674576          Processing
# From Sahar
20130922        237786          Observer Marked 
20130923        238059          Observer Marked 
20131204        260587          Observer Marked 
20131213        264050          Observer Marked 
20131229        269726          Observer Marked 
20150902        470518          Observer Marked 
20150902        470524          Observer Marked 
20150902        470525          Observer Marked 
20160211        516422          Observer Marked 
20160211        516424          Observer Marked
