#date     expnum ccd id ccdnum
20160802  558417 nan nan  32
20160802  558418 nan nan  32
20160802  558462  57 S11  22
20160802  558462 nan nan  28
20160802  558483  13  N5  36
20160802  558483  14  N4  35
20160802  558484  65 S15  14
20160802  558484  70 S21   9
20160802  558484  71 S20   8
20160802  558484  76 S25   4
20160802  558558  38 N26  57
20160802  558558  43 N30  61
20160802  558558  44 N29  60
20160803  559025  44 N29  60
20160803  559074  18 N13  44
20160803  559074  24 N19  50
20160803  559074  53  S2  26
20160803  559074  54  S1  25
20160803  559074  60  S8  19
20160803  559074  66 S14  13
20160803  559075  19 N12  43
20160803  559075  25 N18  49
20160803  559075  26 N17  48
20160803  559075  31 N23  54
20160803  559075  71 S20   8
20160803  559075  76 S25   4
20160810  562795  16  N2  33
20160810  562795  22  N9  40
20160810  562795  23  N8  39
20160810  562795  28 N15  46
20160810  562795  29 N14  45
20160811  563120  60  S8  19
20160811  563120  66 S14  13
20160811  563241  16  N2  33
20160811  563241  22  N9  40
20160811  563241  23  N8  39
20160812  563441  70 S21   9
20160812  563441  71 S20   8
20160812  563441  76 S25   4
20160812  563504  38 N26  57
20160812  563504  43 N30  61
20160812  563504  44 N29  60
20160812  563529  55 S13  24
20160812  563529  56 S12  23
20160812  563529  61 S19  18
20160812  563529  62 S18  17
20160812  563605  37 N27  58
20160813  563847  20 N11  42
20160813  563847  26 N17  48
20160813  563870  44 N29  60
20160813  563870 nan nan  56
20160817  565946  30 N24  55
20160817  565946 nan nan  49
20160817  565972  30 N24  55
20160817  565972 nan nan  49
20160829  569105  48  S7  31
20160829  569105  55 S13  24
20160829  569105 nan nan  30
20160829  569105 nan nan  38
20160829  569105 nan nan  37
20160829  569105 nan nan  26
20160829  569105 nan nan  33
20160829  569106  12  N6  37
20160829  569106  49  S6  30
20160829  569107  48  S7  31
20160829  569107  55 S13  24
20160829  569107 nan nan  30
20160829  569107 nan nan  37
20160829  569107 nan nan  38
20160829  569108  12  N6  37
20160829  569108  49  S6  30
20160829  569108 nan nan  31
20160829  569108 nan nan  38
20160829  569108 nan nan  19
20160915  575249  30 N24  55
20160915  575249 nan nan  49
20160915  575261  30 N24  55
20160915  575261 nan nan  49
20160915  575273  30 N24  55
20160915  575273 nan nan  49
20160915  575285  30 N24  55
20160915  575285 nan nan  49
20160915  575297  30 N24  55
20160915  575297 nan nan  49
20160915  575319  30 N24  55
20160915  575319 nan nan  49
20160915  575334  30 N24  55
20160915  575334 nan nan  49
