#date     expnum ccd id ccdnum
20220805  1117976  53  S2  26
20220805  1117976  59  S9  20
20220815  1122044 nan nan  12
20220815  1122126  27 N16  47
20220828  1126610  55 S13  24
20220828  1126610 nan nan  18
20220828  1126700  66 S14  13
20220828  1126700  71 S20   8
20220828  1126712  66 S14  13
20220828  1126712  71 S20   8
20220828  1126724  66 S14  13
20220828  1126724  71 S20   8
20220902  1129214  61 S19  18
20220902  1129214  67 S24  12
20220902  1129222  61 S19  18
20220902  1129222  67 S24  12
20220903  1129854  28 N15  46
20220903  1129854  29 N14  45
20220903  1129854  34 N20  51
20220904  1130436  55 S13  24
20220904  1130436 nan nan  18
20220913  1134284  55 S13  24
20220913  1134284 nan nan  18
20220914  1134705  39 N25  56
20220914  1134705 nan nan   7
20220914  1134705 nan nan  11
20220914  1134705 nan nan  12
20220914  1134705 nan nan  17
20220914  1134721  25 N18  49
20220914  1134741  67 S24  12
20220914  1134741  73 S28   7
20220914  1134826  16  N2  33
20220914  1134826  17  N1  32
20220918  1136065  28 N15  46
20220918  1136065  33 N21  52
20221008  1139951  15  N3  34
20221008  1139951  21 N10  41
20220807  1118419 nan nan  17
20220807  1118419 nan nan  11
20220807  1118419 nan nan  5
20221014  1141631 nan nan  62
20221015  1141868 nan nan  44
20220805  1117978 nan nan  30
20220805  1117978 nan nan  37
20220820  1123596 nan nan  34
20220828  1126600 nan nan  10
20220828  1126600 nan nan  15
20220828  1126651 nan nan  12
20220828  1126651 nan nan  21
20220828  1126651 nan nan  27
20220828  1126651 nan nan  54
20220828  1126651 nan nan  55
20220828  1126738 nan nan  54
20220828  1126738 nan nan  59
20220828  1126738 nan nan  62
20220828  1126739 nan nan  12
20220828  1126739 nan nan  17
20220828  1126838 nan nan  46
20220828  1126838 nan nan  51
20220828  1126838 nan nan  52
20220828  1126838 nan nan  12
20220903  1129758 nan nan  40
20220903  1129768 nan nan  18
20220903  1129768 nan nan  39
20220903  1129768 nan nan  45
20220904  1130641 nan nan  19
20220904  1130642 nan nan  19
20220914  1134800 nan nan  2
20220914  1134800 nan nan  62
20220914  1134826 nan nan  33
20220915  1135159 nan nan  8
20220915  1135159 nan nan  50
20220915  1135159 nan nan  55
20220915  1135165 nan nan  24
20220915  1135165 nan nan  39
20220915  1135166 nan nan  37
20220918  1136085 nan nan  27
20220918  1136099 nan nan  24
20220918  1136099 nan nan  38
20220918  1136112 nan nan  3
20220918  1136112 nan nan  7
20220918  1136114 nan nan  1
20220918  1136114 nan nan  2
20220918  1136114 nan nan  58
20220918  1136117 nan nan  30
20220918  1136137 nan nan  46
20220918  1136137 nan nan  47
20220918  1136137 nan nan  52
20221014  1141596 nan nan  7
20221014  1141596 nan nan  51
20221014  1141596 nan nan  56
20221014  1141628 nan nan  4
20221014  1141628 nan nan  8
20221014  1141628 nan nan  59
20221014  1141628 nan nan  62
20221014  1141629 nan nan  4
20221014  1141629 nan nan  8
20221014  1141629 nan nan  59
20221014  1141629 nan nan  62
20221014  1141630 nan nan  4
20221014  1141630 nan nan  62
20221014  1141631 nan nan  4
20221014  1141631 nan nan  62
20221014  1141632 nan nan  4
20221014  1141632 nan nan  62
20221014  1141633 nan nan  62
20221015  1141857 nan nan  4
20221015  1141857 nan nan  62
#DECADE DR3_2
20220802  1117118  55 S13  24
20220811  1119947  66 S14  13
20220811  1119947  71 S20   8
20220811  1119953  66 S14  13
20220811  1119953  71 S20   8
20220814  1121716  66 S14  13
20220814  1121716  71 S20   8
20220815  1122051  12  N6  37
20220815  1122051  13  N5  36
20220815  1122051  19 N12  43
20220815  1122051  20 N11  42
20220815  1122051  50  S5  29
20220815  1122051  53  S2  26
20220815  1122051  54  S1  25
20220815  1122051  59  S9  20
20220815  1122051  60  S8  19
20220815  1122051  66 S14  13
20220824  1125150  66 S14  13
20220824  1125150  71 S20   8
20220824  1125151  66 S14  13
20220824  1125151  71 S20   8
20220824  1125156  66 S14  13
20220824  1125156  71 S20   8
20220824  1125157  66 S14  13
20220824  1125157  71 S20   8
20220824  1125162  66 S14  13
20220824  1125162  71 S20   8
20220824  1125163  66 S14  13
20220824  1125163  71 S20   8
20220824  1125168  66 S14  13
20220824  1125168  71 S20   8
20220824  1125169  66 S14  13
20220824  1125169  71 S20   8
20220824  1125174  66 S14  13
20220824  1125174  71 S20   8
20220824  1125175  66 S14  13
20220824  1125175  71 S20   8
20220828  1126701  66 S14  13
20220828  1126701  71 S20   8
20220828  1126706  66 S14  13
20220828  1126706  71 S20   8
20220828  1126707  66 S14  13
20220828  1126707  71 S20   8
20220828  1126713  66 S14  13
20220828  1126713  71 S20   8
20220828  1126718  66 S14  13
20220828  1126718  71 S20   8
20220828  1126719  66 S14  13
20220828  1126719  71 S20   8
20220828  1126725  66 S14  13
20220828  1126725  71 S20   8
20220904  1130430  55 S13  24
20220904  1130528  66 S14  13
20220904  1130528  71 S20   8
20220904  1130529  66 S14  13
20220904  1130529  71 S20   8
20220904  1130534  66 S14  13
20220904  1130534  71 S20   8
20220904  1130535  66 S14  13
20220904  1130535  71 S20   8
20220904  1130540  66 S14  13
20220904  1130540  71 S20   8
20220904  1130541  66 S14  13
20220904  1130541  71 S20   8
20220904  1130546  66 S14  13
20220904  1130546  71 S20   8
20220904  1130547  66 S14  13
20220904  1130547  71 S20   8
20220904  1130552  66 S14  13
20220904  1130552  71 S20   8
20220904  1130553  66 S14  13
20220904  1130553  71 S20   8
20220911  1133494  55 S13  24
20220911  1133540  66 S14  13
20220911  1133540  71 S20   8
20220911  1133541  66 S14  13
20220911  1133541  71 S20   8
20220911  1133546  66 S14  13
20220911  1133546  71 S20   8
20220911  1133547  66 S14  13
20220911  1133547  71 S20   8
20220911  1133552  66 S14  13
20220911  1133552  71 S20   8
20220911  1133553  66 S14  13
20220911  1133553  71 S20   8
20220911  1133559  66 S14  13
20220911  1133559  71 S20   8
20220911  1133564  66 S14  13
20220911  1133564  71 S20   8
20220911  1133565  66 S14  13
20220911  1133565  71 S20   8
20220913  1134379  66 S14  13
20220913  1134379  71 S20   8
20220913  1134380  66 S14  13
20220913  1134380  71 S20   8
20220913  1134385  66 S14  13
20220913  1134385  71 S20   8
20220913  1134386  66 S14  13
20220913  1134386  71 S20   8
20220913  1134391  66 S14  13
20220913  1134391  71 S20   8
20220913  1134392  66 S14  13
20220913  1134392  71 S20   8
20220913  1134397  66 S14  13
20220913  1134397  71 S20   8
20220913  1134398  66 S14  13
20220913  1134398  71 S20   8
20220913  1134403  66 S14  13
20220913  1134403  71 S20   8
20220913  1134404  66 S14  13
20220913  1134404  71 S20   8
20220914  1134806  73 S28   7
20220914  1134806  74 S27   6
20220914  1134806  79 S31   3
20220914  1134806 nan nan  11
20220914  1134904  32 N22  53
20220914  1134904  37 N27  58
20220914  1134904  38 N26  57
20220915  1135110  39 N25  56
20220915  1135110  44 N29  60
20220915  1135110  67 S24  12
20220915  1135110  68 S23  11
20220915  1135110  73 S28   7
20220915  1135110  74 S27   6
20220915  1135140  12  N6  37
20220915  1135140  13  N5  36
20220915  1135140  19 N12  43
20220915  1135140  25 N18  49
20220915  1135140  65 S15  14
20220915  1135140  66 S14  13
20220915  1135140  71 S20   8
20220917  1135611  11  N7  38
20220917  1135611  12  N6  37
20220917  1135611  17  N1  32
20220917  1135611  48  S7  31
20220917  1135611  49  S6  30
20220917  1135611  55 S13  24
20220917  1135669  21 N10  41
20220917  1135669  27 N16  47
20220917  1135680  27 N16  47
20220917  1135680  32 N22  53
20220917  1135680  33 N21  52
20220917  1135752  76 S25   4
20220918  1136161  73 S28   7
20220918  1136161  74 S27   6
20220918  1136161  79 S31   3
20220918  1136161 nan nan  11
20220918  1136164  76 S25   4
20221001  1137151  55 S13  24
20221001  1137250  66 S14  13
20221001  1137250  71 S20   8
20221001  1137251  66 S14  13
20221001  1137251  71 S20   8
20221001  1137256  66 S14  13
20221001  1137256  71 S20   8
20221001  1137257  66 S14  13
20221001  1137257  71 S20   8
20221001  1137262  66 S14  13
20221001  1137262  71 S20   8
20221001  1137263  66 S14  13
20221001  1137263  71 S20   8
20221001  1137268  66 S14  13
20221001  1137268  71 S20   8
20221001  1137269  66 S14  13
20221001  1137269  71 S20   8
20221001  1137274  66 S14  13
20221001  1137274  71 S20   8
20221001  1137275  66 S14  13
20221001  1137275  71 S20   8
20221005  1138489  66 S14  13
20221005  1138489  71 S20   8
20221005  1138495  66 S14  13
20221005  1138495  71 S20   8
20221005  1138501  66 S14  13
20221005  1138501  71 S20   8
20221005  1138507  66 S14  13
20221005  1138507  71 S20   8
20221005  1138513  66 S14  13
20221005  1138513  71 S20   8
20221005  1138638  43 N30  61
20221005  1138639  43 N30  61
20221005  1138639  44 N29  60
20221005  1138639 nan nan  57
20221005  1138648  79 S31   3
20221005  1138648 nan nan  56
20221005  1138648 nan nan  57
20221005  1138649  79 S31   3
20221005  1138649 nan nan  56
20221005  1138649 nan nan  57
20221009  1140271  66 S14  13
20221009  1140271  71 S20   8
20221009  1140289  66 S14  13
20221009  1140289  71 S20   8
20221009  1140295  66 S14  13
20221009  1140295  71 S20   8
20221010  1140615  55 S13  24
20221010  1140733  66 S14  13
20221010  1140733  71 S20   8
20221010  1140739  66 S14  13
20221010  1140739  71 S20   8
20221010  1140745  66 S14  13
20221010  1140745  71 S20   8
20221010  1140751  66 S14  13
20221010  1140751  71 S20   8
20221010  1140757  66 S14  13
20221010  1140757  71 S20   8
20221013  1141106  55 S13  24
20221013  1141283  66 S14  13
20221013  1141283  71 S20   8
